a		Nc, Ng, Vit, I, E
bánh đà		Nc
bánh đai		Nc
bánh đậu xanh		Nc
bánh đúc		Nc
bánh ếch		Nc
bánh gai		Nc
bánh giầy		Nc
bánh gio		Nc
bánh giò		Nc
bánh gối		Nc
bánh hỏi		Nc
bánh in		Nc
bánh ít		Nc
bánh khảo		Nc
bánh khoai		Nc
bánh khoái		Nc
bánh khúc		Nc
bánh lái		Nc
bánh mật		Nc
bánh mì		Nc
bánh mướt		Nc
bánh nậm		Nc
bánh nếp		Nc
bánh nướng		Nc
bánh phồng		Nc
bánh phồng tôm		Nc
bánh phở		Nc
bánh quế		Nc
bánh qui		Nc
bánh quy		Nc
bánh rán		Nc
bánh răng		Nc
bánh sữa		Nc
bánh tai voi		Nc
bánh tày		Nc
bánh tây		Nc
bánh tẻ		Nc, Aa
bánh tét		Nc
bánh thánh		Nc
bánh tổ		Nc
bánh tôm		Nc
bánh trái		Nc
bánh tráng		Nc
bánh tro		Nc
bánh trôi		Nc
bánh trung thu		Nc
bánh ú		Nc
bánh ú tro		Nc
bánh ướt		Nc
bánh vẽ		Nc
bánh vít		Nc
bánh xe		Nc
bánh xèo		Nc
bạnh		Vt, Aa
banjo		Np
banjô		Np
bao		Nc, Na, Vt
bao bì		Nc, Ng
bao biếm		Vit
bao biện		Vt
bao bọc		Vt
bao bố		Nc
bao cao su		Nc
bao caosu		Nc
bao cấp		Vt
bao che		Vt
bao chiếm		Vt
bao dai		Aa
bao dong		Aa
bao dung		Aa
bao đồng		Aa
bao giờ		Pi
bao gói		Nc, Ng, Vt
bao gồm		Vt
bao hàm		Vt
bao hoa		Nc
bao la		An
bao lan		Nc
bao lăm		Pi
bao lâu		An
bao lơn		Nc
bao mua		Vt
bao nả		Pn
bao nhiêu		Pi
bao phấn		Nc
bao phủ		Vt
bao quản		Vt
bao quát		Vt
bao sân		Vit
bao tải		Nc
bao tay		Nc
bao thầu		Vt
bao thơ		Nc
bao tiêu		Vt
bao tời		Nc
bao trùm		Vt
bao tử		Nc
bao tượng		Nc
bao vây		Vt
bao vây kinh tế		Vit
bao xa		An
bào		Nc, Vt
bào ảnh		Na
bào bọt		Aa
bào chế		Vt
bào chế học		Na
bào chữa		Vt
bào hao		Vit
bào ngư		Nc, Ng
bào thai		Nc, Ng
bào tộc		Nc, Ng
bào tử		Nc, Ng
bào tử nang		Nc, Ng
bào xác		Nc
bào xoi		Nc
bảo		Vt
bảo an		Nc, Ng, Vit
bảo an binh		Nc, Ng
bảo ban		Vt
bảo bối		Nc, Ng
bảo chứng		Na, Vit
bảo dưỡng		Vt
bảo đảm		Na, Vt, Aa
bảo hành		Vt
bảo hiểm		Vt
bảo hiểm bắt buộc		Na
bảo hiểm hỗn hợp		Na
bảo hiểm xã hội		Vit
bảo hoàng		Aa
bảo hoàng hơn vua		Vit
bảo hộ		Vt
bảo hộ lao động		Vit
bảo hộ mậu dịch		Na
bảo kê		Nc, Ng, Vt
bảo kiếm		Nc, Ng
bảo lãnh		Vt
bảo lĩnh		Vt
bảo lưu		Vt
bảo mạng		Vit
bảo mật		Vt
bảo mẫu		Nc, Ng
bảo mệnh		Vit
bảo nhỏ		Vt
bảo quản		Vt
bảo sanh		Nc, Ng
bảo tàng		Vt
bảo tháp		Nc, Ng
bảo thủ		Vt, Aa
bảo toàn		Vt
bảo tồn		Vt
bảo tồn bảo tàng		Vit
bảo trì		Na, Vt
bảo trợ		Vt
bảo vật		Nc, Ng
bảo vệ		Nc, Ng, Vt
bão		Nc
bão bùng		Nc, Ng
bão cát		Nc, Ng
bão hoà		Aa
bão rớt		Nc, Ng
bão táp		Nc, Ng
bão tố		Nc, Ng
bão tuyết		Nc, Ng
bão từ		Nc, Ng
báo		Nc, Ng, Vt
báo an		Vit
báo ảnh		Nc, Ng
báo bổ		Vt
báo cáo		Nc, Ng, Vt
báo cáo viên		Nc, Ng
báo chí		Nc, Ng
báo chương		Nc, Ng
báo cô		Vit
báo công		Vit
báo danh		Vit
báo đáp		Vt
báo đền		Vt
báo động		Vit
báo giá		Nc, Ng
báo giới		Nc, Ng
báo hại		Vt
báo hỉ		Vit
báo hiếu		Vt
báo hiệu		Vt
báo hỷ		Vit
báo liếp		Nc, Ng
báo mộng		Vit
báo oán		Vt
báo ơn		Vt
báo phục		Vt
báo quán		Nc, Ng
báo quốc		Vit
báo tang		Vit
báo thù		Vit
báo thức		Vit
báo tiệp		Vit
báo tử		Vit
báo tường		Nc, Ng
báo ứng		Vit
báo vụ		Na
báo vụ viên		Nc, Ng
báo yên		Vit
bạo		Aa
bạo ăn bạo nói		Vit
bạo bệnh		Na
bạo chính		Na
bạo chúa		Na
bạo dạn		Aa
bạo động		Na, Vit
bạo gan		Aa
bạo hành		Na
bạo liệt		Aa
bạo loạn		Na
bạo lực		Na
bạo mồm bạo miệng		Vit
bạo nghịch		Aa
bạo ngược		Aa
bạo phát		Vit
bạo phổi		Aa
bạo tàn		Aa
bạo thiên nghịch địa		Aa
bar		Np
barem		Np
baren		Np
barie		Np
barrel		Np
basalt		Np
base		Np
bát		Nc, Nn, Vt
bát âm		Ng
bát chậu		Nc, Ng
bát chiết yêu		Nc, Ng
bát chữ		Nc, Ng
bát cổ		Aa
bát cú		Aa
bát diện		Ng
bát đàn		Nc, Ng
bát giác		Ng
bát hương		Nc, Ng
bát két		Nc, Ng
bát mẫu		Nc, Ng
bát ngát		An
bát nháo		Aa
bát ô tô		Nc, Ng
bát phẩm		Na
bát phố		Vit
bát quái		Ng
bát tiên		Ng
bát tiết		Na
bát trận đồ		Nc, Ng
bạt		Nc, Nu, Vt
bạt hồn		Vit
bạt hơi		Aa
bạt mạng		Aa
bạt ngàn		An
bạt nhĩ		Vit
bạt tai		Vit
bạt tê		Aa
bạt thiệp		Aa
bạt tử		Aa
bạt vía		Aa
bạt vía kinh hồn		Aa
bata		Np
batê		Np
batinê		Vit
batket		Np
batoong		Np
batrui		Vit
batui		Vit
bàu		Nc, Ng
bàu bạu		Aa
báu		Aa
báu vật		Nc, Ng
bay		Nc, Pp, Vit
bay biến		Vit, Jd
bay bổng		Vit
bay bướm		Aa
bay hơi		Vit
bay lượn		Vit
bay nhảy		Vit
bày		Vt
bày biện		Vt
bày đặt		Vt
bày tỏ		Vt
bày vai		Aa
bày vẽ		Vt
bảy		Nu
bảy mươi		Nn
bazan		Np
bazooka		Np
bazơ		Np
bắc		Na, Vt
bắc		Na, Vt
bắc bán cầu		Nl
bắc bậc		Aa
bắc cầu		Vit
Bắc Cực		Np
bắc cực quyền		Na
Bắc Đẩu		Np
bắc nam		Nl
bắc sài hồ		Nc, Ng
băm		Nu, Vt
băm bổ		Vit
băm vằm		Vt
bằm		Vt
bặm		Vt
bặm bụi		Nc, Ng
bặm trợn		Aa
băn khoăn		Aa
bằn bặt		Aa
bẳn		Vit
bẳn gắt		Vit
bẳn tính		Aa
bắn		Vt
bắn bổng		Vit
bắn chác		Vit
bắn mìn		Vit
bắn tẩy		Vit
bắn tiếng		Vt
băng		Nc, Ng, Vt, Vo, Aa, Jd
băng bó		Vt
băng ca		Nc, Ng
băng đạn		Nc, Ng
băng đảo		Nc, Ng
băng giá		Nc, Ng
băng-giô		Np
băng hà		Nc, Ng, Vit
băng hình		Nc, Ng
băng hoại		Vit
băng huyết		Vit
băng lăn		Nc
băng nhân		Nc, Ng
băng nhóm		Nc, Ng
băng phiến		Nc, Ng
băng sơn		Nc
băng tải		Nc, Ng
băng tuyết		Nc, Ng
băng từ		Nc, Ng
băng video		Nc, Ng
băng xăng		Vit
bằng		Nc, Ng, Vt, Vc, Vtc, Aa, An, Cm
bằng an		Aa
bằng bặn		Aa
bằng cấp		Nc, Ng
bằng chân như vại		Aa
bằng chứng		Nc, Ng
bằng cớ		Nc, Ng
bằng cứ		Nc, Ng, Vit
bằng hữu		Nc, Ng
bằng không		Cc, Aa
bằng lăng		Nc, Ng
bằng lặng		Aa
bằng lòng		Vt
bằng mặt chẳng bằng lòng		X
bằng mặt mà chẳng bằng lòng		X
bằng phẳng		Aa
bằng sáng chế		Nc, Ng
bằng sắc		Nc, Ng
bằng thừa		Aa
bằng vai		Aa
bằng vai phải lứa		Aa
bẵng		Aa
bắng nhắng		Vit
bặng nhặng		Vit
băngca		Nc, Ng
bắp		Nc, Ng
bắp cải		Nc, Ng
bắp cày		Nc, Ng
bắp chân		Nc, Ng
bắp chuối		Nc, Ng
bắp cơ		Nc, Ng
bắp đùi		Nc, Ng
bắp ngô		Nc, Ng
bắp tay		Nc, Ng
bắp thịt		Nc, Ng
bắp vế		Nc, Ng
bắt		Vt
bắt ấn		Vit
bắt bánh		Vit
bắt bánh xe		Vit
bắt bẻ		Vit
bắt bí		Vt
bắt bóng đè chừng		Vit
bắt bớ		Vt
bắt buộc		Vt
bắt cá hai tay		X
bắt cái		Vit
bắt chân chữ ngũ		Vit
bắt chẹt		Vt
bắt chợt		Vit
bắt chuồn chuồn		Vit
bắt chuyện		Vit
bắt chước		Vt
bắt cóc		Vt
bắt cóc bỏ đĩa		X
bắt cô trói cột		Nc, Ng
bắt đầu		Vt
bắt đầu từ		Cc
bắt đền		Vt
bắt ép		Vt
bắt gặp		Vt
bắt giọng		Vit
bắt giữ		Vt
bắt khoan bắt nhặt		Vit
bắt khoán		Vit
bắt mạch		Vit
bắt mắt		Vit
bắt mối		Vit
bắt nạt		Vt
bắt ne bắt nét		Vit
bắt nét		Vit
bắt nguồn		Vit
bắt nhân tình		Vit
bắt nhịp		Vit
bắt nọn		Vit
bắt nợ		Vt
bắt quyết		Vit
bắt rễ		Vit
bắt tay		Vt
bắt thăm		Vit
bắt thóp		Vt
bắt thường		Vt
bắt tình		Vit
bắt tội		Vt
bắt tréo		Vt
bắt vạ		Vt
bặt		Aa
bặt tăm		Vit
bặt thiệp		Aa
bấc		Nc
bậc		Nc
bậc tam cấp		Nc, Ng
bầm		Nc, Aa
bầm gan tím ruột		Aa
bẩm		Vt
bẩm báo		Vt
bẩm chất		Na
bẩm sinh		Aa
bẩm tính		Na
bẫm		Aa
bấm		Vt
bấm bụng		Vt, Vim, Vtim
bấm chí		Vitim
bấm chí		Vit
bấm độn		Vit
bấm đốt		Vit
bấm gan		Vt, Vim, Vtim
bấm giờ		Vit
bấm ngọn		Vit
bấm ra sữa		Aa
bậm		Vt, Aa
bậm bạp		Aa
bậm trợn		Aa
bần		Nc, Aa
bần bách		Aa
bần bật		Aa
bần cố nông		Nc, Ng
bần cùng		Aa
bần cùng hoá		Vit
bần đạo		Na
bần hàn		Aa
bần huyết		Na
bần nông		Nc, Ng
bần sĩ		Nc, Ng
bần tăng		Na
bần thần		Aa
bần tiện		Aa
bẩn		Aa
bẩn mình		Aa
bẩn thẩn bần thần		Aa
bẩn thỉu		Aa
bẩn tưởi		Aa
bấn		Aa
bấn bíu		Aa
bấn loạn		Vit, Aa
bận		Nu, Vt, Aa
bận bịu		Vt, Aa
bận lòng		Aa
bận mọn		Aa
bận rộn		Aa
bận tâm		Aa
bâng khuâng		Aa
bâng quơ		Aa
bấng		Vt
bấp ba bấp bênh		Aa
bấp bênh		Aa
bập		Nc, Vt
bập bà bập bềnh		Vit
bập bà bập bõm		Jd
bập bà bập bùng		Aa
bập bẹ		Vit
bập bênh		Nc
bập bềnh		Vit
bập bõm		Jd
bập bồng		Vit
bập bỗng		Aa
bập bùng		Aa
bất		Ng
bất an		Aa
bất bạo động		Vit
bất bằng		Aa
bất biến		Aa
bất bình		Aa
bất cần		Vit
bất cẩn		Aa
bất cập		Aa
bất chấp		Vt
bất chính		Aa
bất chợt		Jt
bất công		Aa
bất cộng đái thiên		Vit
bất cứ		Jd
bất di bất dịch		Vit
bất diệt		Aa
bất đắc chí		Aa
bất đắc dĩ		Aa
bất đắc kì tử		Vit
bất đắc kỳ tử		Vit
bất đẳng thức		Na
bất định		Aa
bất đồ		Jt
bất đồng		Aa
bất động		Aa
bất động sản		Na
bất giác		Jt
bất hạnh		Aa
bất hảo		Aa
bất hiếu		Aa
bất hoà		Aa
bất hủ		Aa
bất kể		Jd
bất khả		Vt
bất khả kháng		Vit
bất khả tri luận		Na
bất khả xâm phạm		Aa
bất kham		Aa
bất khuất		Aa
bất kì		Aa, Jd
bất kỳ		Aa, Jd
bất lợi		Aa
bất luận		Jd
bất lực		Aa
bất lương		Aa
bất mãn		Vit, Aa
bất minh		Aa
bất mục		Aa
bất nghì		Aa
bất nghĩa		Aa
bất ngờ		Aa
bất nhã		Aa
bất nhân		Aa
bất nhẫn		Aa
bất nhất		Aa
bất như ý		Aa
bất nhược		Cc
bất ổn		Aa
bất phân thắng bại		X
bất phương trình		Na
bất quá		Jd
bất tài		Aa
bất tận		Aa
bất tất		Ja
bất thành cú		Aa
bất thần		Aa
bất thình lình		Jt
bất thường		Aa
bất tiện		Aa
bất tỉnh		Aa
bất tỉnh nhân sự		Aa
bất trắc		Na, Aa
bất trị		Aa
bất túc		Aa
bất tử		Aa
bất tử		Jt
bất tường		Aa
bất ý		Aa
bật		Vt
bật đèn xanh		Vit
bật lò xo		Vit
bật lửa		Nc, Ng
bật mí		Vit
bâu		Nc, Vit
bầu		Nc, Nt, Vt, Aa
bầu bán		Vt
bầu bạn		Ng, Vit
bầu bậu		Aa
bầu bĩnh		Aa
bầu chọn		Vt
bầu chủ		Vit
bầu cử		Vt
bầu dục		Nc, Ng
bầu đàn thê tử		Np
bầu đoàn		Ng
bầu đoàn thê tử		Np
bầu đông		Nc, Ng
bầu eo		Nc, Ng
bầu giác		Nc, Ng
bầu hâm		Nc, Ng
bầu không khí		Np
bầu nậm		Nc, Ng
bầu ngưng		Nc, Ng
bầu rượu túi thơ		X
bầu sao		Nc, Ng
bầu trời		Nc, Ng
bấu		Vt
bấu chí		Vt
bấu véo		Vt
bấu víu		Vt
bấu xén		Vt
bậu		Nc, Pp, Vt
bây		Vt, Aa
bây bẩy		Jd
bây chừ		Pd
bây giờ		Pd
bây nhiêu		Pn
bầy		Ng
bầy hầy		Aa
bầy nhầy		Aa
bầy tôi		Na
bầy trẻ		Ng
bẩy		Nn, Vt
bẫy		Nc, Ng, Vt
bẫy cò ke		Nc, Ng
bấy		Pn, Aa
bấy bá		Aa
bấy bớt		Aa
bấy chầy		Pd
bấy chừ		Pd
bấy giờ		Pd
bấy lâu		Pd
bấy nay		Pd
bấy nhiêu		Pn
bậy		Aa
bậy bạ		Aa
BCH		Np
BCT		Np
be		Nc, Ng, Vt, Aa
be be		Vit
be bé		An
bè		Nc, Ng, Aa
bè bạn		Nc, Ng
bè cánh		Nc, Ng
bè đảng		Nc, Ng
bè lũ		Nc, Ng
bè nhè		Vit, Aa
bè phái		Nc, Ng, Aa
bè tòng		Ng
bẻ		Vt
bẻ bai		Vt
bẻ bai		Aa
bẻ bão		Vit
bẻ cò		Vit
bẻ ghi		Vit
bẻ hành bẻ tỏi		Vit
bẻ hoẹ		Vit
bẻ khục		Vt
bẻ lái		Vit
bẽ		Aa
bẽ bàng		Aa
bé		Nc, An
bé bỏng		Aa
bé cái lầm		Vit
bé con		Nc, Ng
bé dại		Aa
bé hạt tiêu		Aa
bé nhỏ		An
bé xé ra to		X
bẹ		Nc
béc giê		Nc, Ng
becgiê		Np
becjê		Np
bem		Na, Aa
bẻm		Aa
ben-den		Np
bèn		Jr, Jt
bèn bẹt		Aa
bẽn lẽn		Aa
bén		Vt, Aa
bén gót		Vtc
bén mảng		Vit
bén ngót		Aa
bẹn		Nc, Ng
beng		Vt
béng		Jr, Jt
benzen		Np
beo		Nc, Ng, Vt, Aa
beo béo		Aa 
bèo		Nc, Ng
bèo bọt		Nc, Ng
bèo cái		Nc, Ng
bèo cám		Nc, Ng
bèo dâu		Nc, Ng
bèo hoa dâu		Nc, Ng
bèo lục bình		Nc, Ng
bèo Nhật Bản		Nc, Ng
bèo nhèo		Aa
bèo ong		Nc, Ng
bèo tấm		Nc, Ng
bèo tây		Nc, Ng
bẻo lẻo		Aa
béo		Vt, Aa
béo bở		Aa
béo mỡ		Aa
béo múp		Aa
béo núc		Aa
béo nung núc		Aa
béo quay		Aa
béo tốt		Aa
bẹo		Vt
bép xép		Vit
bẹp		An
bét		Vit, Aa
bét be		Aa
bét nhè		Aa
bét tĩ		Aa
bẹt		An
beta		Np
bê		Nc, Vt
bê bê		Aa
bê bết		Aa
bê bối		Aa
bê rê		Nc, Ng
bê-ta		Np
bê tha		Vt, Aa
bê tông		X
bê trễ		Vt
bê trệ		Vt
bề		Nl
bề bề		Aa
bề bộn		Aa
bề dưới		Nl
bề mặt		Nl
bề nào cũng		X
bề ngoài		Nl
bề thế		Na, An
bề tôi		Na
bề trên		Nl
bể		Nc, Ng, Vt
bể bơi		Nc, Ng
bể cạn		Nc, Ng
bể dâu		Na
bể khổ		Na
bể phốt		Nc, Ng
bễ		Nc
bế		Vt
bế bồng		Vt
bế giảng		Vit
bế kinh		Vit
bế mạc		Vt
bế quan toả cảng		Vit
bế tắc		Aa
bệ		Nc, Ng, Vt
bệ hạ		Na
bệ kiến		Vt
bệ ngọc		Nc, Ng
bệ phóng		Nc, Ng
bệ rạc		Aa
bệ rồng		Nc, Ng
bệ tì		Nc, Ng
bệ vệ		Aa
bệch		Aa
bệch bạc		Aa
bên		Nl
bên bị		Na
bên nguyên		Na
bền		Aa
bền bỉ		Aa
bền chặt		Aa
bền chí		Aa
bền gan		Aa
bền lòng		Aa
bền vững		Aa
bển		Pd
bến		Nc, Ng
bến bờ		Nc, Ng
bến lội		Nc, Ng
bến nước		Nc, Ng
bến tàu		Nc, Ng
bến vượt		Nc, Ng
bến xe		Nc, Ng
bện		Vt
bênh		Vt
bênh		Vt
bênh bè		Vit
bênh vực		Vt
bềnh		Vit
bềnh bệch		Aa
bềnh bồng		Vit
bệnh		Na, Aa
bệnh án		Nc, Ng
bệnh bạch cầu		Na
bệnh binh		Nc, Ng
bệnh căn		Na
bệnh chứng		Na
bệnh hoạn		Na, Aa
bệnh kín		Na
bệnh lí		Na
bệnh lí học		Na
bệnh lịch		Na
bệnh lý		Na
bệnh lý học		Na
bệnh nghề nghiệp		Na
bệnh nhân		Nc, Ng
bệnh nhi		Na
bệnh phẩm		Nc, Ng
bệnh sĩ		Na
bệnh sử		Na
bệnh tâm thần		Na
bệnh tật		Na, Aa
bệnh thời khí		Na
bệnh tình		Na
bệnh trạng		Na
bệnh tưởng		Na
bệnh viện		Nc, Ng
bệnh xã hội		Na
bệnh xá		Nc, Ng
bếp		Nc, Ng
bếp		Nc, Ng
bếp núc		Nc, Ng
bếp nước		Nc, Ng
bêrê		Np
bết		Vt
bết		Aa
bệt		Jd, Aa
bêta		Np
bêtông		Np
bêtông cốt sắt		Nc, Ng
bêtông cốt thép		Nc, Ng
bêu		Vt, Aa
bêu diếu		Vt
bêu nắng		Vit
bêu riếu		Vt
bều bệu		Aa
bệu		Aa
bệu bạo		Vit
bệu rệch		Aa
bi		Nc, Aa
bi-a		Nc, Ng
bi ai		Aa
bi ba bi bô		Vit
bi bô		Vit
bi ca		Na
bi cảm		Vt, Vim, Vtim
bi chí		Nc
bi da		Nc, Ng
bi đát		Aa
bi đông		Np
bi hài kịch		Na
bi hoan		Aa
bi hùng		Aa
bi khúc		Nc
bi kí		Nc
bi kịch		Na
bi ký		Nc
bi luỵ		Aa
bi quan		Aa
bi thảm		Aa
bi thiết		Aa
bi thương		Aa
bi tráng		Aa
bi-tum		Np
bì		Nc, Vtc, Aa
bì bà bì bõm		Vit
bì bẹt		Aa
bì bõm		Vit
bì khổng		Nc, Ng
bì sì		Aa
bì sị		Aa
bì thư		Nc, Ng
bỉ		Na, Ng, Vt, Vim, Vtim
bỉ bạc		Vt, Vim, Vtim
bỉ báng		Vt, Vim, Vtim
bỉ nhân		Na
bỉ ổi		Aa
bỉ thử		Vitc
bĩ		Aa
bĩ cực thái lai		X
bí		Nc, Aa
bí ẩn		Na, Aa
bí bách		Aa
bí beng		Aa
bí bét		Aa
bí danh		Na
bí đao		Nc, Ng
bí đỏ		Nc, Ng
bí hiểm		Aa
bí mật		Na, Aa
bí mật nhà nghề		Na
bí ngô		Nc, Ng
bí phấn		Nc, Ng
bí quyết		Na
bí rì		Aa
bí rợ		Nc, Ng
bí số		Na
bí thơ		Na
bí thuật		Na
bí thư		Nc
bí thư thứ nhất		Nc
bí tỉ		Aa
bí truyền		Aa
bí tử		Ng
bí ử		Nc, Ng
bị		Nc, Vta
bị can		Nc, Ng
bị cáo		Nc, Ng
bị chú		Vt
bị động		Aa
bị đơn		Nc, Ng
bị gậy		Ng
bị sị		Aa
bị thịt		Na
bị thương		Vit, Va
bị trị		Vit
bị vong lục		Nc, Ng
bia		Nc
bia bọt		Nc, Ng
bia đỡ đạn		Nc, Ng
bia hơi		Nc, Ng
bia miệng		Na
bia tươi		Nc, Ng
bìa		Nc, Ng
bìa giả		Nc, Ng
bìa trong		Nc, Ng
bịa		Vt
bịa đặt		Vt
bích		Nc
bích báo		Nc, Ng
bích cốt		Nc
bích hoạ		Nc, Ng
bích ngọc		Nc, Ng
bích qui		Nc, Ng
bích quy		Nc, Ng
bịch		Nc, Ng, Vt
bichcôt		Np
bichquy		Nc, Ng
bida		Nc, Ng
biđông		Nc, Ng
biếc		Aa
biếm hoạ		Nc, Ng
biên		Nc, Vt
biên ải		Nc, Ng
biên bản		Nc, Ng
biên cảnh		Nl
biên chép		Vt
biên chế		Na, Vit
biên cương		Nc, Ng
biên dạng		Nc
biên dịch		Vt
biên đạo		Vt
biên độ		Na
biên đội		Nc, Ng
biên giới		Nc, Ng
biên khảo		Vit
biên khu		Nc, Ng
biên lai		Nc, Ng
biên mậu		Na
biên nhận		Vt
biên niên		Aa
biên phòng		Vit
biên soạn		Vt
biên tập		Vt
biên tập viên		Nc, Ng
biên thuỳ		Nc, Ng
biên uỷ		Nc, Ng
biền		Nc
biền biệt		Aa
biền ngẫu		Na
biền thể		Na
biền văn		Na
biển		Nc, Ng
biển báo		Nc, Ng
biển cả		Nc, Ng
biển hồ		Nc, Ng
biển lận		Aa
biển ngắm		Nc, Ng
biển thủ		Vt
biến		Na, Vtb, Vitb, Jd
biến ảo		Vitb, Aa
biến áp		Nc, Ng
biến âm		Na, Vitb
biến báo		Vit
biến cách		Vit
biến cách		Vit
biến cải		Vtb
biến chất		Vitb
biến chế		Vt
biến chuyển		Na, Vit
biến chứng		Na, Vit
biến cố		Na
biến dạng		Na, Vit
biến dị		Na, Vit
biến diễn		Vit
biến điệu		Vit
biến đổi		Na, Vtb
biến động		Na, Vit
biến hình		Vit
biến hoá		Vtb
biến loạn		Vit
biến sắc		Vitb
biến số		Na
biến tấu		Vit
biến thái		Na
biến thể		Na
biến thế		Nc, Ng, Vit
biến thế tự ngẫu		Nc, Ng
biến thiên		Na, Vit
biến tính		Vitb
biến tốc		Vit
biến trở		Nc, Ng
biến tướng		Na, Vit
biện		Vt
biện bác		Vit
biện bạch		Vt
biện biệt		Vt
biện chứng		Aa
biện chứng pháp		Na
biện hộ		Vit
biện lí		Nc, Ng
biện luận		Vit
biện lý		Nc, Ng
biện minh		Vit
biện pháp		Na
biếng		Aa
biếng nhác		Aa
biết		Vt, Vim, Vtim
biết bao		Jd
biết bao nhiêu		Jd
biết chừng nào		Jd
biết đâu		Jd
biết đâu chừng		Jd
biết đâu đấy		Jd
biết điều		Aa
biết mấy		Jd
biết người biết của		Vit
biết ơn		Vt
biết tay		Vt
biết thân		Vit
biết thóp		Vt
biết tỏng		Vt
biết tỏng tòng tong		Vit
biệt		Vt, Aa
biệt danh		Na
biệt dược		Nc, Ng
biệt đãi		Vt
biệt động		Aa
biệt động đội		Nc, Ng
biệt động quân		Nc, Ng
biệt hiệu		Na
biệt kích		Nc, Ng, Vit
biệt lập		Vit
biệt lệ		Na
biệt li		Vit
biệt ly		Vit
biệt mù		Aa
biệt phái		Vt
biệt phái		Aa
biệt tài		Na, Aa
biệt tăm		Aa
biệt tăm biệt tích		Aa
biệt thự		Nc, Ng
biệt tích		Aa
biệt tịch		Aa
biệt vô âm tín		Aa
biệt xứ		Aa
biểu		Nc, Vt
biểu bì		Nc, Ng
biểu cảm		Vit
biểu diễn		Vt
biểu dương		Vt
biểu đạt		Vt
biểu đồ		Nc, Ng
biểu đồng tình		Vit
biểu hiện		Na, Vt
biểu kiến		Aa
biểu lộ		Vt
biểu mẫu		Nc, Ng
biểu ngữ		Nc, Ng
biểu quyết		Vit
biểu thị		Vt
biểu thức		Nc, Ng
biểu tình		Vit
biểu trưng		Nc, Ng, Vit
biểu tượng		Nc, Ng
biếu		Vt
biếu xén		Vt
bìm		Nc
bìm bìm		Nc, Ng
bìm bịp		Nc, Ng
bím		Nc
bin		Nc
bin-đinh		Nc, Ng
bịn rịn		Vt
binđinh		Nc, Ng
binh		Ng, Vt
binh bị		Ng
binh biến		Na
binh cách		Na
binh chế		Na
binh chủng		Nc, Ng
binh công xưởng		Nc, Ng
binh cơ		Na
binh dịch		Na
binh đao		Nc, Ng
binh đoàn		Nc, Ng
binh đội		Nc, Ng
binh gia		Nc, Ng
binh hoả		Nc, Ng
binh khí		Nc, Ng
binh lính		Nc, Ng
binh lửa		Na
binh lực		Na
binh lương		Ng
binh mã		Nc, Ng
binh nghiệp		Na
binh nhất		Nc, Ng
binh nhì		Nc, Ng
binh nhu		Nc, Ng
binh nhung		Nc, Ng
binh pháp		Nc, Ng
binh phí		Nc, Ng
binh phục		Nc, Ng
binh quyền		Na
binh sĩ		Nc, Ng
binh thư		Nc, Ng
binh tình		Na
binh trạm		Nc, Ng
binh vận		Vit
bình		Nc, Ng, Vt, Aa
bình an		Aa
bình bản		Nc
bình bán		Nc
bình bát		Nc, Ng
bình bầu		Vt
bình bịch		Nc, Ng
bình bồng		Aa
bình cầu		Nc, Ng
bình chân		Aa
bình chân như vại		Aa
bình chọn		Vt
bình chú		Vt
bình công		Vit
bình công chấm điểm		Vit
bình cũ rượu mới		X
bình dân		Na, Aa
bình dân học vụ		Na
bình dị		Aa
bình diện		Na
bình đẳng		Aa
bình địa		Nc, Ng
bình địa ba đào		X
bình điện		Nc, Ng
bình định		Vt
bình đồ ảnh		Nc, Ng
bình giá		Vt
bình lặng		Aa
bình luận		Vt
bình luận viên		Nc, Ng
bình minh		Na
bình nghị		Vt
bình nguyên		Nc, Ng
bình ngưng		Nc, Ng
bình nhật		Na
bình ổn		Vit
bình phẩm		Vtc
bình phong		Nc, Ng
bình phục		Vt
bình phương		Na, Vit
bình quân		Aa
bình quyền		Aa
bình sai		Vit
bình sinh		Na
bình tâm		Vit
bình thản		Aa
bình thông nhau		Nc, Ng
bình thời		Na
bình thuỷ		Nc, Ng
bình thường		Aa
bình thường hoá		Vt
bình tích		Nc, Ng
bình tĩnh		Aa
bình toong		Nc, Ng
bình tuyển		Vt
bình vôi		Nc, Ng
bình xét		Vt
bình xịt		Nc, Ng
bình yên		Aa
bỉnh bút		Nc
bĩnh		Vit
bính		Na, Aa
bịnh		Na
bíp tết		Nc, Ng
bịp		Vt
bịp bợm		Aa
biptêt		Np
birr		Np
bis		Aa
bismut		Np
bismuth		Np
bít		Nu, Vt
bít cốt		Nc
bít đốc		Nc
bít-mút		Np
bít tất		Nc, Ng
bít tất tay		Nc, Ng
bịt		Vt
bịt bùng		Aa
bịt mắt bắt dê		Nc
bitcôt		Np
bitum		Np
bìu		Nc
bìu dái		Nc, Ng
bìu díu		Vt
bĩu		Vt
bíu		Vt
bloc		Np
blốc		Np
blu		Np
blu dông		Np
bludông		Np
bo		Vt
bo bíu		Vt
bo bo		Nc, Ng, Aa
bo siết		Vt
bò		Nc, Ng, Vit
bò cạp		Nc, Ng
bò lê bò càng		Vit
bò lê bò la		Vit
bò sát		Nc, Ng
bò tót		Nc, Ng
bò u		Nc, Ng
bỏ		Vt
